"","longitude","latitude","eventDate"
"434",-115.718522,30.84894,2020-03-05
"435",-115.756343,30.854586,2020-03-03
"436",-115.625933,30.821949,2020-03-03
"437",-115.879164,31.074472,2020-03-07
"438",-115.924823,31.053526,2020-03-07
"439",-122.161091,37.970691,2020-03-06
"440",-122.7268,38.463249,2020-03-11
"441",-120.149892,34.470044,2020-03-12
"442",-123.650261,39.200559,2020-03-16
"443",-120.002834,34.40312,2020-03-20
"444",-115.667243,30.881428,2020-03-25
"445",-115.691587,30.948292,2020-03-25
"446",-116.097105,30.951073,2020-03-25
"447",-115.746962,30.902734,2020-03-25
"448",-115.66665,30.873142,2020-03-25
"449",-115.74202,30.908487,2020-03-25
"450",-121.155994,36.630372,2020-03-29
"451",-115.656258,30.882285,2020-03-25
"452",-115.673888,30.880437,2020-03-25
"453",-122.120525,36.999085,2020-03-30
"454",-121.815336,37.432221,2020-03-13
"455",-121.789517,37.800181,2020-03-31
"456",-121.616364,37.887249,2020-03-31
"457",-121.102766,36.410024,2020-03-07
"458",-122.669493,37.9176,2020-04-01
"459",-122.114831,37.803783,2020-04-08
"460",-122.185577,37.98117,2020-04-08
"461",-121.608917,37.820175,2020-04-08
"462",-122.089008,37.988716,2020-04-08
"463",-120.513475,38.710002,2020-04-13
"464",-122.474195,37.788891,2020-04-14
"465",-122.510297,38.246407,2020-04-16
"466",-115.715022,30.964668,2020-04-20
"467",-115.644931,30.829289,2020-04-21
"468",-122.024551,37.943199,2020-04-24
"469",-122.407033,37.558669,2020-04-10
"470",-120.060194,34.458506,2020-04-25
"471",-122.056874,37.642716,2020-04-25
"472",-122.568941,37.413707,2020-04-25
"473",-122.587691,37.801614,2020-04-26
"474",-115.7396,30.808659,2020-04-27
"475",-115.668082,30.90592,2020-04-26
"476",-115.769776,30.811734,2020-04-27
"477",-122.530676,37.692814,2020-05-04
"478",-122.038865,37.947588,2020-05-06
"479",-122.157525,37.949457,2020-05-07
"480",-122.152045,37.848399,2020-05-07
"481",-122.029611,37.810321,2020-05-07
"482",-121.103106,36.565117,2020-05-10
"483",-120.439299,34.65515,2020-05-13
"484",-120.764084,35.362678,2020-05-13
"485",-120.771068,35.384793,2020-05-13
"486",-120.080795,34.51712,2020-05-19
"487",-121.556498,37.73433,2020-05-19
"488",-121.920602,37.895617,2020-05-30
"489",-122.425794,37.563789,2020-05-19
"490",-119.941185,34.961445,2020-05-16
"491",-121.808086,37.877489,2020-06-01
"492",-121.883159,37.822161,2020-06-01
"493",-122.029566,36.916927,2020-06-02
"494",-122.159976,36.828756,2020-06-09
"495",-120.504678,34.524052,2020-06-11
"496",-121.110815,36.619897,2020-06-10
"497",-123.613674,38.848222,2020-06-13
"498",-121.796675,37.946075,2020-06-17
"499",-123.521658,38.761637,2020-06-21
"500",-121.054077,36.720496,2020-06-26
"501",-120.043766,34.400124,2020-06-27
"502",-120.071451,34.500876,2020-06-28
"503",-122.275457,37.033655,2020-06-22
"504",-122.515851,37.47845,2020-06-09
"505",-121.714423,37.962089,2020-07-07
"506",-122.689099,38.43093,2020-07-08
"507",-121.601331,37.972909,2020-07-16
"508",-121.727142,37.862923,2020-07-19
"509",-121.497292,37.014246,2020-07-25
"510",-122.406853,37.949509,2020-07-21
"511",-122.530068,37.417671,2020-07-31
"512",-115.776243,30.811025,2020-07-27
"513",-115.758194,30.97881,2020-07-26
"514",-115.720888,30.818816,2020-07-26
"515",-115.644559,30.964524,2020-07-26
"516",-115.764434,30.834689,2020-07-26
"517",-115.791554,30.876645,2020-07-27
"518",-115.643515,30.9542,2020-07-27
"519",-115.68076,30.842936,2020-07-27
"520",-115.700914,30.854756,2020-07-27
"521",-115.794136,30.868647,2020-07-27
"522",-115.796494,30.852916,2020-07-28
"523",-115.665388,30.921835,2020-07-28
"524",-122.529775,37.536033,2020-07-08
"525",-122.43262,37.572444,2020-07-08
"526",-122.562845,37.923954,2020-08-22
"527",-121.772058,37.827773,2020-08-01
"528",-121.644017,37.978692,2020-08-09
"529",-120.79052,39.139554,2020-08-12
"530",-120.756101,39.106112,2020-08-12
"531",-122.730778,38.386272,2020-08-21
"532",-121.111687,35.700249,2020-08-10
"533",-121.104061,36.621306,2020-08-28
"534",-116.600782,33.111459,2020-08-28
"535",-116.760467,33.028558,2020-08-28
"536",-121.954172,37.97847,2020-08-29
"537",-122.462659,37.945021,2020-08-13
"538",-122.856378,38.238645,2020-09-01
"539",-121.159396,36.630982,2020-09-15
"540",-119.537733,34.495924,2020-09-17
"541",-122.979251,38.106602,2020-09-20
"542",-122.186175,36.862836,2020-09-16
"543",-122.636737,38.263454,2020-09-22
"544",-122.536825,37.993407,2020-09-18
"545",-122.579628,38.236284,2020-09-22
"546",-122.560596,38.230711,2020-09-22
"547",-122.501616,38.262158,2020-09-22
"548",-122.46661,38.313466,2020-09-22
"549",-122.578616,37.855331,2020-09-24
"550",-122.056945,37.650413,2020-09-12
"551",-120.661136,35.359414,2020-09-25
"552",-122.536122,37.857805,2020-09-18
"553",-122.582575,37.56141,2020-09-26
"554",-121.913126,37.138607,2020-10-03
"555",-122.446166,37.655903,2020-10-11
"556",-121.880417,36.571,2020-10-12
"557",-118.65087,34.104531,2020-10-17
"558",-121.192521,36.779975,2020-10-23
"559",-115.994039,31.096171,2020-10-23
"560",-122.005095,36.817749,2020-10-27
"561",-121.270065,37.03451,2020-10-30
"562",-122.529927,37.476697,2020-10-23
"563",-122.498899,37.570245,2020-10-13
"564",-122.482389,37.464905,2020-10-23
"565",-122.603108,38.240055,2020-11-17
"566",-122.96714,38.059639,2020-11-04
"567",-122.507445,37.412849,2020-11-25
"568",-122.455104,37.452215,2020-11-25
"569",-121.655415,36.823307,2020-11-19
"570",-122.970426,38.03146,2020-12-13
"571",-115.709957,30.91614,2020-12-20
"572",-115.745961,30.868731,2020-12-20
"573",-115.662037,30.806615,2020-12-20
"574",-121.936184,36.877008,2020-12-25
"575",-120.787969,35.327014,2020-12-28
"576",-123.037,38.397773,2019-01-08
"577",-120.058858,34.497684,2019-01-17
"578",-122.698544,38.29051,2019-01-17
"579",-120.067254,34.480874,2019-01-18
"580",-122.520825,37.544832,2019-01-19
"581",-122.586747,37.549367,2019-01-19
"582",-122.768099,38.226949,2019-01-22
"583",-122.473809,37.826064,2019-01-27
"584",-121.420638,37.687728,2019-01-27
"585",-121.11543,36.419235,2019-01-30
"586",-120.02789,34.516979,2019-02-11
"587",-122.536628,37.918454,2019-02-19
"588",-122.516318,37.984623,2019-02-19
"589",-120.191302,34.491595,2019-02-22
"590",-122.552768,38.201765,2019-02-28
"591",-115.759516,30.834141,2019-02-07
"592",-120.794007,35.286294,2019-02-24
"593",-121.872933,37.603847,2019-03-01
"594",-120.135052,34.469255,2019-03-04
"595",-120.143453,34.549938,2019-03-07
"596",-121.475288,37.796486,2019-03-06
"597",-122.288485,37.228894,2019-03-16
"598",-122.528374,37.885319,2019-03-04
"599",-122.725377,38.337762,2019-03-30
"600",-121.01973,36.547104,2019-03-01
"601",-121.128629,36.592745,2019-04-11
"602",-122.506027,37.980624,2019-04-23
"603",-122.829939,38.184031,2019-04-26
"604",-122.10234,37.903315,2019-04-27
"605",-121.272492,37.107618,2019-04-29
"606",-115.736965,30.827843,2019-04-28
"607",-115.631805,30.930876,2019-04-28
"608",-115.660948,30.977422,2019-04-28
"609",-115.746928,30.976551,2019-04-28
"610",-115.681465,30.922768,2019-04-28
"611",-121.500801,37.641771,2019-04-24
"612",-121.111554,36.581292,2019-04-22
"613",-115.787958,30.981666,2019-04-11
"614",-122.509746,37.468222,2019-04-04
"615",-120.709301,35.234884,2019-04-28
"616",-120.725365,35.399086,2019-04-28
"617",-120.677584,35.354825,2019-04-27
"618",-122.03196,37.143225,2019-05-28
"619",-121.034889,36.519828,2019-05-04
"620",-121.098637,36.469343,2019-05-04
"621",-121.14878,36.47908,2019-05-04
"622",-121.04041,36.507749,2019-05-04
"623",-121.043638,36.407923,2019-05-04
"624",-122.48879,38.377637,2019-05-17
"625",-115.614497,30.965566,2019-05-19
"626",-122.347605,37.586665,2019-05-21
"627",-122.428341,37.887841,2019-05-24
"628",-121.635104,37.731392,2019-05-23
"629",-121.503558,36.573077,2019-05-23
"630",-122.153898,37.399055,2019-05-15
"631",-115.610737,30.885681,2019-05-19
"632",-121.47185,37.675379,2019-05-23
"633",-121.863699,37.783296,2019-05-29
"634",-115.496348,30.974206,2019-05-19
"635",-122.599215,37.804147,2019-06-09
"636",-121.152644,36.420542,2019-06-28
"637",-121.015287,36.482476,2019-06-28
"638",-122.827166,38.318073,2019-07-05
"639",-121.902852,37.886266,2019-07-03
"640",-121.907438,37.989562,2019-07-03
"641",-122.411647,37.955305,2019-07-08
"642",-121.841696,37.830525,2019-07-09
"643",-122.787582,38.540896,2019-07-17
"644",-121.422532,37.152178,2019-07-24
"645",-121.541246,37.07531,2019-07-29
"646",-121.042266,36.567707,2019-07-09
"647",-120.947171,39.045351,2019-08-09
"648",-121.979055,37.87018,2019-08-10
"649",-121.968661,37.975243,2019-08-10
"650",-121.950653,37.95132,2019-08-10
"651",-121.891222,37.878264,2019-08-10
"652",-122.5816,37.939124,2019-08-08
"653",-121.995527,37.829118,2019-08-10
"654",-121.904302,37.93355,2019-08-12
"655",-121.926158,37.814807,2019-08-12
"656",-121.995197,37.881805,2019-08-12
"657",-121.857798,37.97389,2019-08-12
"658",-121.836771,37.809702,2019-08-12
"659",-121.85573,37.878769,2019-08-12
"660",-121.722697,37.340695,2019-08-23
"661",-122.440732,37.825223,2019-08-21
"662",-122.083203,37.329906,2019-08-29
